0	1.09168
0.018	1.09156
0.036	1.0907
0.054	1.08408
0.072	0.989059
0.09	0.941703
0.108	0.892568
0.126	0.853226
0.144	0.828236
0.162	0.810703
0.18	0.792789
0.198	0.780748
0.216	0.770674
0.234	0.757
0.252	0.744549
0.27	0.763122
0.288	0.923995
0.306963	1.23145
0.324369	1.51091
0.341776	1.69482
0.359183	1.72294
0.376589	1.66841
0.393996	1.57353
0.411403	1.47705
0.428809	1.38531
0.446216	1.28776
0.463623	1.20466
0.481029	1.14194
0.498436	1.10814
0.515842	1.10473
0.533249	1.09741
0.550656	1.08689
0.568062	1.06584
0.585469	1.02543
0.602876	0.978455
0.620282	0.936457
0.637689	0.900129
0.65534	0.874574
0.673967	0.857914
0.692594	0.837403
0.711222	0.823061
0.729849	0.816297
0.748476	0.80318
0.767104	0.793996
0.785731	0.775307
0.804358	0.771411
0.822986	0.792943
0.841613	0.91365
0.860241	1.15741
0.878868	1.48767
0.897495	1.76218
0.916123	1.87136
0.93475	1.85259
0.953377	1.76628
0.972005	1.66568
0.990632	1.57894
1.00926	1.49772
1.02789	1.38854
1.04713	1.28974
1.06638	1.21346
1.08563	1.169
1.10487	1.14851
1.12412	1.12849
1.14337	1.11197
1.16261	1.07425
1.18186	1.02917
1.20111	0.975936
1.22036	0.927401
1.2396	0.888467
1.25885	0.866409
1.2781	0.834574
1.29734	0.827752
1.31659	0.814792
1.33584	0.795744
1.35508	0.779788
1.37433	0.759565
1.39358	0.748973
1.41282	0.753905
1.43231	0.801614
1.45186	0.974676
1.47141	1.294
1.49095	1.66959
1.5105	1.94073
1.53005	2.04009
1.54959	2.01164
1.56914	1.91828
1.58869	1.82832
1.60823	1.74337
1.62778	1.63495
1.64733	1.51054
1.66687	1.39626
1.68642	1.31001
1.70597	1.2617
1.72551	1.24316
1.74506	1.22366
1.76461	1.19508
1.78415	1.15512
1.8037	1.09929
1.82333	1.03901
1.83908	0.995965
1.85484	0.957373
1.87059	0.924297
1.88634	0.897006
1.90209	0.873416
1.91784	0.85574
1.9336	0.838407
1.94935	0.823509
1.9651	0.812815
1.98085	0.790736
1.9966	0.77815
2.01235	0.761894
2.02811	0.747096
2.04386	0.740381
2.05961	0.735497
2.07536	0.767947
2.09111	0.881776
2.10687	1.10913
2.12262	1.41127
2.13837	1.69607
2.15412	1.90486
2.16987	1.98597
2.18562	1.98048
2.20138	1.92045
2.21716	1.83815
2.23297	1.76324
2.24878	1.68507
2.26459	1.611
2.2804	1.5194
2.29621	1.41548
2.31202	1.32325
2.32783	1.2406
2.34365	1.18555
2.35946	1.14893
2.37527	1.12198
2.39108	1.11154
2.40689	1.10396
2.4227	1.09248
2.43851	1.06953
2.45432	1.03781
2.47013	1.00565
2.48594	0.96779
2.50176	0.938362
2.51757	0.908046
2.53338	0.881691
2.54919	0.860321
2.565	0.840964
2.58081	0.83069
2.59662	0.816654
2.61244	0.799568
2.62828	0.784877
2.64411	0.762275
2.65995	0.748058
2.67579	0.733165
2.69162	0.71968
2.70746	0.716223
2.7233	0.735744
2.73913	0.820422
2.75497	1.02736
2.77081	1.33184
2.78664	1.63767
2.80248	1.86509
2.81832	1.96954
2.83415	1.96635
2.84999	1.89942
2.86583	1.81036
2.88166	1.7155
2.8975	1.63348
2.91334	1.55359
2.92917	1.46113
2.94501	1.36784
2.96085	1.27794
2.97668	1.21491
2.99252	1.17487
3.00836	1.14889
3.02419	1.14259
3.04001	1.1356
3.05584	1.11576
3.07167	1.0833
3.0875	1.049
3.10333	1.00351
3.11916	0.948556
3.13499	0.912117
3.15082	0.873487
3.16665	0.843474
3.18248	0.827303
3.19831	0.809024
3.21413	0.795902
3.22996	0.780407
3.24579	0.766311
3.26162	0.752328
3.27745	0.737372
3.29328	0.719596
3.30911	0.708848
3.32494	0.69973
3.34077	0.707795
3.3566	0.785311
3.37243	0.968556
3.38825	1.26425
3.40408	1.57473
3.41992	1.82016
3.43575	1.93745
3.45159	1.95034
3.46742	1.88826
3.48326	1.79582
3.4991	1.70421
3.51493	1.61445
3.53077	1.52964
3.5466	1.43266
3.56244	1.33218
3.57828	1.23993
3.59411	1.17054
3.60995	1.12918
3.62578	1.10306
3.64162	1.09032
3.65745	1.0817
3.67329	1.05901
3.68913	1.02972
3.70496	0.987527
3.7208	0.942101
3.73663	0.891334
3.75247	0.846556
3.7683	0.807305
3.78414	0.773425
3.79998	0.750307
3.81582	0.735412
3.83167	0.721852
3.84752	0.709297
3.86337	0.701021
3.87922	0.686395
3.89507	0.675054
3.91092	0.656692
3.92677	0.640961
3.94262	0.64363
3.95847	0.672688
3.97432	0.778361
3.99017	1.01155
4.00602	1.35472
4.02187	1.68652
4.03772	1.93323
4.05357	2.05418
4.06942	2.0643
4.08527	1.99928
4.10112	1.91534
4.11697	1.83136
4.13282	1.75469
4.14867	1.68527
4.16452	1.59126
4.18037	1.48523
4.19622	1.37166
4.21207	1.27805
4.22793	1.20374
4.24378	1.15655
4.25964	1.12841
4.2755	1.10901
4.29135	1.08449
4.30721	1.05526
4.32306	1.01041
4.33892	0.964752
4.35477	0.911759
4.37063	0.866376
4.38649	0.827526
4.40234	0.788716
4.4182	0.760599
4.43405	0.735103
4.44991	0.717861
4.46576	0.700517
4.48162	0.68301
4.49748	0.665816
4.51333	0.652681
4.52919	0.642247
4.54504	0.630642
4.5609	0.622254
4.57676	0.636187
4.59261	0.693587
4.60847	0.864172
4.62431	1.16639
4.64014	1.51231
4.65598	1.80882
4.67182	1.98776
4.68766	2.03915
4.7035	2.00253
4.71934	1.91939
4.73518	1.83545
4.75101	1.75298
4.76685	1.68074
4.78269	1.59444
4.79853	1.48792
4.81437	1.37199
4.83021	1.25335
4.84605	1.1667
4.86188	1.10323
4.87772	1.05813
4.89356	1.03672
4.9094	1.01658
4.92524	0.992286
4.94108	0.95322
4.95692	0.909344
4.97275	0.860609
4.98859	0.809805
5.00443	0.764732
5.02028	0.728422
5.03614	0.697922
5.05199	0.678709
5.06784	0.661669
5.0837	0.649662
5.09955	0.637814
5.11541	0.628826
5.13126	0.61923
5.14711	0.606366
5.16297	0.600712
5.17882	0.593234
5.19467	0.591201
5.21053	0.619643
5.22638	0.719108
5.24224	0.949844
5.25809	1.28011
5.27394	1.61081
5.2898	1.85509
5.30565	1.9626
5.32151	1.95948
5.33736	1.88789
5.35321	1.78849
5.36907	1.70481
